161,Campo Alegre,campo-alegre,AL
162,São Miguel dos Milagres,sao-miguel-dos-milagres,AL
163,Taquarana,taquarana,AL
164,Olivença,olivenca,AL
165,Lagoa da Canoa,lagoa-da-canoa,AL
166,Baixa do Capim (Arapiraca),baixa-do-capim-arapiraca,AL
167,Marechal Deodoro,marechal-deodoro,AL
168,União dos Palmares,uniao-dos-palmares,AL
169,Lagoa Dantas (Palmeira dos Índios),lagoa-dantas-palmeira-dos-indios,AL
170,Piranhas,piranhas,AL
171,Poço (Arapiraca),poco-arapiraca,AL
172,Limoeiro de Anadia,limoeiro-de-anadia,AL
173,Tatuamunha (Porto de Pedras),tatuamunha-porto-de-pedras,AL
174,Anadia,anadia,AL
175,Cacimbinhas,cacimbinhas,AL
176,Campo Grande,campo-grande,AL
177,Baixa Grande (Arapiraca),baixa-grande-arapiraca,AL
178,Batingas (Arapiraca),batingas-arapiraca,AL
179,Penedo,penedo,AL
180,Murici,murici,AL
181,Lagoa do Rancho (Palmeira dos Índios),lagoa-do-rancho-palmeira-dos-indios,AL
182,Olho D Água do Casado,olho-d-agua-do-casado,AL
183,Poço da Pedra de Cima (Arapiraca),poco-da-pedra-de-cima-arapiraca,AL
184,Junqueiro,junqueiro,AL
185,Boqueirão (Japaratinga),boqueirao-japaratinga,AL
186,Boca da Mata,boca-da-mata,AL
187,Riacho do Sertão (Major Isidoro),riacho-do-sertao-major-isidoro,AL
188,Traipu,traipu,AL
189,Flexeiras (Arapiraca),flexeiras-arapiraca,AL
190,Bom Jardim (Arapiraca),bom-jardim-arapiraca,AL
191,Feliz Deserto,feliz-deserto,AL
192,Santana do Mundaú,santana-do-mundau,AL
193,Moreira (Palmeira dos Índios),moreira-palmeira-dos-indios,AL
194,Delmiro Gouveia,delmiro-gouveia,AL
195,Poço de Baixo (Arapiraca),poco-de-baixo-arapiraca,AL
196,Ingá (Junqueiro),inga-junqueiro,AL
197,Barra Grande (Maragogi),barra-grande-maragogi,AL
198,Sapucaia (Atalaia),sapucaia-atalaia,AL
199,Anum Velho (Palmeira dos Índios),anum-velho-palmeira-dos-indios,AL
200,Olho D Água Grande,olho-d-agua-grande,AL
201,Olho D Água dos Dandanhas (Arapiraca),olho-d-agua-dos-dandanhas-arapiraca,AL
202,Canaã (Arapiraca),canaa-arapiraca,AL
203,Usina Camaçari (Coruripe),usina-camacari-coruripe,AL
204,São José da Laje,sao-jose-da-laje,AL
205,Serra do São José (Palmeira dos Índios),serra-do-sao-jose-palmeira-dos-indios,AL
206,Santana do Ipanema,santana-do-ipanema,AL
207,Retiro (Arapiraca),retiro-arapiraca,AL
208,Riachão (Junqueiro),riachao-junqueiro,AL
209,Jacuípe,jacuipe,AL
210,Anel (Viçosa),anel-vicosa,AL
211,Boa Sorte (Palmeira dos Índios),boa-sorte-palmeira-dos-indios,AL
212,Alecrim (Pão de Açúcar),alecrim-pao-de-acucar,AL
213,Pau Ferro (Arapiraca),pau-ferro-arapiraca,AL
214,Camadanta (Arapiraca),camadanta-arapiraca,AL
215,Poxim (Coruripe),poxim-coruripe,AL
216,Canastra (Ibateguara),canastra-ibateguara,AL
217,Palmeira de Fora (Palmeira dos Índios),palmeira-de-fora-palmeira-dos-indios,AL
218,Novo Lino,novo-lino,AL
219,Senador Rui Palmeira,senador-rui-palmeira,AL
220,São Lourenço (Arapiraca),sao-lourenco-arapiraca,AL
221,Arapiraca,arapiraca,AL
222,Juruá,jurua,AM
223,Lago Preto (Boa Vista do Ramos),lago-preto-boa-vista-do-ramos,AM
224,Humaitá,humaita,AM
225,Beruri,beruri,AM
226,Santo Antônio do Matupi (Manicoré),santo-antonio-do-matupi-manicore,AM
227,Vila Amazônia (Parintins),vila-amazonia-parintins,AM
228,Santo Antônio do Içá,santo-antonio-do-ica,AM
229,Alvarães,alvaraes,AM
230,Borba,borba,AM
231,Lábrea,labrea,AM
232,Anori,anori,AM
233,Agrovila São Sebastião do Caburi (Parintins),agrovila-sao-sebastiao-do-caburi-parintins,AM
234,Barcelos,barcelos,AM
235,Caiambé (Tefé),caiambe-tefe,AM
236,Manacapuru,manacapuru,AM
237,Canumã (Borba),canuma-borba,AM
238,Floriano Peixoto (Boca do Acre),floriano-peixoto-boca-do-acre,AM
239,Codajás,codajas,AM
240,Cametá (Barreirinha),cameta-barreirinha,AM
241,Carvoeiro (Barcelos),carvoeiro-barcelos,AM
242,Santa Rita (São Paulo de Olivença),santa-rita-sao-paulo-de-olivenca,AM
243,Vila Rica de Caviana (Manacapuru),vila-rica-de-caviana-manacapuru,AM
244,Autazes,autazes,AM
245,Amatari (Itacoatiara),amatari-itacoatiara,AM
246,Pauini,pauini,AM
247,Murituba (Codajás),murituba-codajas,AM
248,Freguesia do Andirá (Barreirinha),freguesia-do-andira-barreirinha,AM
249,Presidente Figueiredo,presidente-figueiredo,AM
250,Benjamin Constant,benjamin-constant,AM
251,Vila de Sacambu (Manacapuru),vila-de-sacambu-manacapuru,AM
252,Parintins,parintins,AM
253,Novo Céu (Autazes),novo-ceu-autazes,AM
254,Vila Lindóia (Itacoatiara),vila-lindoia-itacoatiara,AM
255,Eirunepé,eirunepe,AM
256,Tapauá,tapaua,AM
257,Urucurituba,urucurituba,AM
258,Vila Pitinga (Presidente Figueiredo),vila-pitinga-presidente-figueiredo,AM
259,Tabatinga,tabatinga,AM
260,Cacau Pirêra (Iranduba),cacau-pirera-iranduba,AM
261,Manaus,manaus,AM
262,Careiro Parauá (Careiro),careiro-paraua-careiro,AM
263,Rio Preto da Eva,rio-preto-da-eva,AM
264,Guajará,guajara,AM
265,Japurá,japura,AM
266,Itapeaçu (Urucurituba),itapeacu-urucurituba,AM
267,São Gabriel da Cachoeira,sao-gabriel-da-cachoeira,AM
268,Belém de Solimões (Tabatinga),belem-de-solimoes-tabatinga,AM
269,Lago do Limão (Iranduba),lago-do-limao-iranduba,AM
270,Purupuru (Careiro),purupuru-careiro,AM
271,Urucará,urucara,AM
272,Vila Bittencourt (Japurá),vila-bittencourt-japura,AM
273,Osório da Fonseca (Maués),osorio-da-fonseca-maues,AM
274,Içanã (São Gabriel da Cachoeira),icana-sao-gabriel-da-cachoeira,AM
275,Ariaú (Iranduba),ariau-iranduba,AM
276,Novo Aripuanã,novo-aripuana,AM
277,Santana (São Sebastião do Uatumã),santana-sao-sebastiao-do-uatuma,AM
278,Estirão do Equador (Atalaia do Norte),estirao-do-equador-atalaia-do-norte,AM
279,Itamarati,itamarati,AM
280,Boa Vista do Ramos,boa-vista-do-ramos,AM
281,Iauaretê (São Gabriel da Cachoeira),iauarete-sao-gabriel-da-cachoeira,AM
282,Araras (Caapiranga),araras-caapiranga,AM
283,Manicoré,manicore,AM
284,Mocambo (Parintins),mocambo-parintins,AM
285,Fonte Boa,fonte-boa,AM
286,Uarini,uarini,AM
287,Massauari (Boa Vista do Ramos),massauari-boa-vista-do-ramos,AM
288,Canutama,canutama,AM
289,Manaquiri,manaquiri,AM
290,Vila Zé Açu (Parintins),vila-ze-acu-parintins,AM
291,Tonantins,tonantins,AM
292,Tefé,tefe,AM
293,Axinim (Borba),axinim-borba,AM
294,Boca do Acre,boca-do-acre,AM
295,Anamã,anama,AM
296,Barreirinha,barreirinha,AM
297,Moura (Barcelos),moura-barcelos,AM
298,São Paulo de Olivença,sao-paulo-de-olivenca,AM
299,Vila do Lago do Jacaré (Manacapuru),vila-do-lago-do-jacare-manacapuru,AM
300,Nova Olinda do Norte,nova-olinda-do-norte,AM
301,Platô do Piquiá (Boca do Acre),plato-do-piquia-boca-do-acre,AM
302,Badajós (Codajás),badajos-codajas,AM
303,Ariaú (Barreirinha),ariau-barreirinha,AM
304,Novo Airão,novo-airao,AM
305,Amaturá,amatura,AM
306,Repartimento de Tuiué (Manacapuru),repartimento-de-tuiue-manacapuru,AM
307,Murutinga (Autazes),murutinga-autazes,AM
308,Novo Remanso (Itacoatiara),novo-remanso-itacoatiara,AM
309,Envira,envira,AM
310,Coari,coari,AM
311,Pedras (Barreirinha),pedras-barreirinha,AM
312,Balbina (Presidente Figueiredo),balbina-presidente-figueiredo,AM
